scenario_id,complexity,map_size,terrain_template,weather_template,fire_template,drone_template,num_drones,difficulty,duration,success_probability
70,hard,80,mountainous,extreme,large_fire,extended,5,0.9000000000000001,48,0.30000000000000004
71,hard,80,mountainous,severe,large_fire,extended,5,0.8400000000000001,48,0.30000000000000004
72,medium,50,forest_sparse,moderate,mega_fire,standard,3,0.6900000000000001,100,0.39999999999999997
73,medium,50,coastal,extreme,mega_fire,massive,10,0.8400000000000001,60,0.6
74,medium,50,forest_dense,calm,small_outbreak,extended,5,0.36,16,0.7999999999999999
75,medium,50,mixed_terrain,extreme,medium_fire,massive,10,0.69,24,0.8
76,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
77,medium,50,coastal,extreme,large_fire,standard,3,0.78,60,0.49999999999999994
78,medium,50,forest_sparse,extreme,small_outbreak,standard,3,0.6,20,0.7
79,hard,80,mountainous,extreme,mega_fire,extended,5,0.96,80,0.20000000000000004
80,medium,50,mixed_terrain,calm,large_fire,extended,5,0.54,48,0.6
81,medium,50,coastal,severe,medium_fire,minimal,1,0.63,60,0.39999999999999997
82,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
83,medium,50,urban_interface,severe,mega_fire,extended,5,0.78,80,0.5
84,medium,50,mountainous,extreme,medium_fire,extended,5,0.69,32,0.7
85,medium,50,mixed_terrain,severe,medium_fire,extended,5,0.63,32,0.7
86,medium,50,forest_dense,extreme,mega_fire,minimal,1,0.8400000000000001,150,0.19999999999999996
87,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
88,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
89,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
90,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
91,medium,50,mixed_terrain,extreme,mega_fire,massive,10,0.8400000000000001,60,0.6
92,medium,50,forest_sparse,extreme,large_fire,massive,10,0.78,36,0.7
93,medium,50,forest_sparse,moderate,large_fire,extended,5,0.63,48,0.6
94,hard,80,urban_interface,severe,mega_fire,massive,10,0.9,60,0.30000000000000004
95,medium,50,forest_dense,moderate,medium_fire,standard,3,0.54,40,0.6
96,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
97,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
98,medium,50,mixed_terrain,moderate,mega_fire,minimal,1,0.6900000000000001,150,0.19999999999999996
99,medium,50,coastal,severe,small_outbreak,massive,10,0.54,12,0.8999999999999999
100,medium,50,forest_sparse,extreme,medium_fire,minimal,1,0.69,60,0.39999999999999997
101,hard,80,mountainous,extreme,large_fire,massive,10,0.9000000000000001,36,0.4
102,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
103,hard,80,mountainous,severe,mega_fire,extended,5,0.9,80,0.20000000000000004
104,medium,50,mountainous,severe,large_fire,minimal,1,0.72,90,0.29999999999999993
105,medium,50,forest_sparse,calm,mega_fire,massive,10,0.6000000000000001,60,0.6
106,medium,50,forest_sparse,extreme,large_fire,massive,10,0.78,36,0.7
107,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
108,hard,80,mountainous,severe,mega_fire,extended,5,0.9,80,0.20000000000000004
109,medium,50,forest_sparse,severe,medium_fire,massive,10,0.63,24,0.8
110,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
111,medium,50,mountainous,calm,mega_fire,standard,3,0.6000000000000001,100,0.39999999999999997
112,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
113,medium,50,forest_dense,moderate,large_fire,massive,10,0.63,36,0.7
114,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
115,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
116,medium,50,urban_interface,severe,small_outbreak,massive,10,0.54,12,0.8999999999999999
117,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
118,medium,50,coastal,severe,mega_fire,minimal,1,0.78,150,0.19999999999999996
119,medium,50,coastal,severe,large_fire,minimal,1,0.72,90,0.29999999999999993
120,medium,50,forest_dense,extreme,medium_fire,minimal,1,0.69,60,0.39999999999999997
121,hard,80,mountainous,severe,mega_fire,extended,5,0.9,80,0.20000000000000004
122,medium,50,mixed_terrain,extreme,large_fire,minimal,1,0.78,90,0.29999999999999993
123,medium,50,coastal,severe,small_outbreak,minimal,1,0.54,30,0.49999999999999994
124,hard,80,urban_interface,severe,mega_fire,massive,10,0.9,60,0.30000000000000004
125,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
126,medium,50,forest_sparse,calm,mega_fire,extended,5,0.6000000000000001,80,0.5
127,medium,50,mountainous,extreme,small_outbreak,standard,3,0.6,20,0.7
128,medium,50,urban_interface,calm,medium_fire,extended,5,0.45,32,0.7
129,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
130,hard,80,mountainous,extreme,mega_fire,massive,10,0.96,60,0.30000000000000004
131,hard,80,urban_interface,extreme,large_fire,massive,10,0.9000000000000001,36,0.4
132,medium,50,mixed_terrain,moderate,mega_fire,massive,10,0.6900000000000001,60,0.6
133,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
134,medium,50,urban_interface,calm,medium_fire,standard,3,0.45,40,0.6
135,medium,50,mountainous,severe,medium_fire,minimal,1,0.63,60,0.39999999999999997
136,medium,50,coastal,extreme,large_fire,extended,5,0.78,48,0.6
137,hard,80,mountainous,extreme,large_fire,massive,10,0.9000000000000001,36,0.4
138,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
139,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
140,medium,50,coastal,moderate,large_fire,massive,10,0.63,36,0.7
141,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
142,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
143,medium,50,coastal,extreme,medium_fire,minimal,1,0.69,60,0.39999999999999997
144,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
145,hard,80,urban_interface,extreme,mega_fire,extended,5,0.96,80,0.20000000000000004
146,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
147,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
148,medium,50,forest_dense,severe,small_outbreak,standard,3,0.54,20,0.7
149,medium,50,forest_sparse,severe,medium_fire,minimal,1,0.63,60,0.39999999999999997
150,medium,50,forest_sparse,calm,mega_fire,standard,3,0.6000000000000001,100,0.39999999999999997
151,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
152,medium,50,urban_interface,calm,small_outbreak,extended,5,0.36,16,0.7999999999999999
153,medium,50,forest_sparse,moderate,large_fire,massive,10,0.63,36,0.7
154,hard,80,mountainous,extreme,mega_fire,extended,5,0.96,80,0.20000000000000004
155,medium,50,urban_interface,calm,small_outbreak,standard,3,0.36,20,0.7
156,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
157,medium,50,mixed_terrain,calm,mega_fire,standard,3,0.6000000000000001,100,0.39999999999999997
158,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
159,medium,50,mixed_terrain,severe,medium_fire,massive,10,0.63,24,0.8
160,medium,50,coastal,severe,medium_fire,minimal,1,0.63,60,0.39999999999999997
161,medium,50,forest_dense,extreme,medium_fire,massive,10,0.69,24,0.8
162,hard,80,mountainous,extreme,large_fire,extended,5,0.9000000000000001,48,0.30000000000000004
163,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
164,medium,50,urban_interface,extreme,mega_fire,standard,3,0.8400000000000001,100,0.39999999999999997
165,medium,50,urban_interface,calm,mega_fire,extended,5,0.6000000000000001,80,0.5
166,medium,50,forest_sparse,severe,large_fire,extended,5,0.72,48,0.6
167,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
168,medium,50,forest_dense,calm,medium_fire,minimal,1,0.45,60,0.39999999999999997
169,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
170,hard,80,urban_interface,severe,large_fire,extended,5,0.8400000000000001,48,0.30000000000000004
171,medium,50,coastal,severe,large_fire,extended,5,0.72,48,0.6
172,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
173,medium,50,mountainous,moderate,mega_fire,extended,5,0.6900000000000001,80,0.5
174,hard,80,mountainous,severe,large_fire,massive,10,0.8400000000000001,36,0.4
175,medium,50,forest_dense,calm,medium_fire,extended,5,0.45,32,0.7
176,hard,80,urban_interface,extreme,large_fire,extended,5,0.9000000000000001,48,0.30000000000000004
177,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
178,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
179,medium,50,mountainous,severe,large_fire,massive,10,0.72,36,0.7
180,medium,50,forest_dense,calm,small_outbreak,massive,10,0.36,12,0.8999999999999999
181,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
182,medium,50,forest_sparse,moderate,mega_fire,minimal,1,0.6900000000000001,150,0.19999999999999996
183,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
184,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
185,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
186,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
187,medium,50,mountainous,severe,small_outbreak,standard,3,0.54,20,0.7
188,medium,50,urban_interface,severe,small_outbreak,extended,5,0.54,16,0.7999999999999999
189,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
190,hard,80,urban_interface,severe,large_fire,extended,5,0.8400000000000001,48,0.30000000000000004
191,medium,50,mixed_terrain,extreme,large_fire,massive,10,0.78,36,0.7
192,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
193,hard,80,urban_interface,severe,mega_fire,massive,10,0.9,60,0.30000000000000004
194,medium,50,urban_interface,moderate,small_outbreak,standard,3,0.44999999999999996,20,0.7
195,medium,50,forest_dense,moderate,mega_fire,extended,5,0.6900000000000001,80,0.5
196,hard,80,mountainous,severe,large_fire,massive,10,0.8400000000000001,36,0.4
197,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
198,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
199,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
200,hard,80,urban_interface,severe,mega_fire,massive,10,0.9,60,0.30000000000000004
201,medium,50,mixed_terrain,extreme,large_fire,massive,10,0.78,36,0.7
202,medium,50,coastal,extreme,small_outbreak,massive,10,0.6,12,0.8999999999999999
203,medium,50,forest_sparse,severe,small_outbreak,minimal,1,0.54,30,0.49999999999999994
204,medium,50,urban_interface,severe,mega_fire,standard,3,0.78,100,0.39999999999999997
205,hard,80,urban_interface,extreme,large_fire,extended,5,0.9000000000000001,48,0.30000000000000004
206,medium,50,urban_interface,extreme,small_outbreak,minimal,1,0.6,30,0.49999999999999994
207,medium,50,urban_interface,severe,mega_fire,minimal,1,0.78,150,0.19999999999999996
208,medium,50,mountainous,extreme,small_outbreak,standard,3,0.6,20,0.7
209,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
210,medium,50,mountainous,extreme,large_fire,extended,5,0.78,48,0.6
211,medium,50,urban_interface,severe,mega_fire,minimal,1,0.78,150,0.19999999999999996
212,hard,80,urban_interface,extreme,large_fire,extended,5,0.9000000000000001,48,0.30000000000000004
213,medium,50,urban_interface,calm,small_outbreak,extended,5,0.36,16,0.7999999999999999
214,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
215,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
216,hard,80,mountainous,extreme,large_fire,extended,5,0.9000000000000001,48,0.30000000000000004
217,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
218,medium,50,coastal,severe,medium_fire,extended,5,0.63,32,0.7
219,medium,50,mountainous,extreme,medium_fire,massive,10,0.69,24,0.8
220,medium,50,forest_dense,severe,mega_fire,extended,5,0.78,80,0.5
221,medium,50,mountainous,calm,medium_fire,minimal,1,0.45,60,0.39999999999999997
222,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
223,hard,80,urban_interface,extreme,mega_fire,extended,5,0.96,80,0.20000000000000004
224,medium,50,coastal,extreme,small_outbreak,standard,3,0.6,20,0.7
225,medium,50,forest_sparse,calm,small_outbreak,standard,3,0.36,20,0.7
226,medium,50,urban_interface,extreme,small_outbreak,extended,5,0.6,16,0.7999999999999999
227,medium,50,forest_sparse,severe,small_outbreak,extended,5,0.54,16,0.7999999999999999
228,medium,50,urban_interface,moderate,medium_fire,massive,10,0.54,24,0.8
229,hard,80,urban_interface,extreme,mega_fire,massive,10,0.96,60,0.30000000000000004
230,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
231,medium,50,urban_interface,severe,medium_fire,minimal,1,0.63,60,0.39999999999999997
232,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
233,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
234,medium,50,urban_interface,moderate,medium_fire,minimal,1,0.54,60,0.39999999999999997
235,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
236,medium,50,forest_dense,severe,mega_fire,minimal,1,0.78,150,0.19999999999999996
237,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
238,medium,50,forest_sparse,severe,large_fire,standard,3,0.72,60,0.49999999999999994
239,hard,80,urban_interface,severe,mega_fire,extended,5,0.9,80,0.20000000000000004
240,medium,50,coastal,calm,mega_fire,standard,3,0.6000000000000001,100,0.39999999999999997
241,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
242,medium,50,coastal,moderate,mega_fire,standard,3,0.6900000000000001,100,0.39999999999999997
243,medium,50,mountainous,severe,medium_fire,standard,3,0.63,40,0.6
244,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
245,medium,50,forest_sparse,moderate,medium_fire,standard,3,0.54,40,0.6
246,medium,50,coastal,extreme,small_outbreak,massive,10,0.6,12,0.8999999999999999
247,medium,50,forest_sparse,extreme,large_fire,massive,10,0.78,36,0.7
248,hard,80,urban_interface,extreme,mega_fire,massive,10,0.96,60,0.30000000000000004
249,medium,50,mountainous,moderate,large_fire,minimal,1,0.63,90,0.29999999999999993
250,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
251,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
252,medium,50,coastal,calm,small_outbreak,massive,10,0.36,12,0.8999999999999999
253,hard,80,urban_interface,severe,mega_fire,extended,5,0.9,80,0.20000000000000004
254,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
255,medium,50,urban_interface,moderate,mega_fire,minimal,1,0.6900000000000001,150,0.19999999999999996
256,medium,50,coastal,moderate,large_fire,standard,3,0.63,60,0.49999999999999994
257,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
258,hard,80,mountainous,severe,large_fire,extended,5,0.8400000000000001,48,0.30000000000000004
259,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
260,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
261,medium,50,urban_interface,extreme,small_outbreak,extended,5,0.6,16,0.7999999999999999
262,medium,50,forest_dense,calm,medium_fire,standard,3,0.45,40,0.6
263,hard,80,mountainous,extreme,mega_fire,extended,5,0.96,80,0.20000000000000004
264,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
265,medium,50,urban_interface,severe,medium_fire,extended,5,0.63,32,0.7
266,medium,50,urban_interface,calm,large_fire,extended,5,0.54,48,0.6
267,medium,50,forest_sparse,calm,medium_fire,minimal,1,0.45,60,0.39999999999999997
268,hard,80,mountainous,extreme,large_fire,massive,10,0.9000000000000001,36,0.4
269,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
270,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
271,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
272,medium,50,mountainous,extreme,large_fire,minimal,1,0.78,90,0.29999999999999993
273,hard,80,mountainous,extreme,large_fire,extended,5,0.9000000000000001,48,0.30000000000000004
274,medium,50,mountainous,moderate,mega_fire,massive,10,0.6900000000000001,60,0.6
275,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
276,hard,80,mountainous,extreme,mega_fire,massive,10,0.96,60,0.30000000000000004
277,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
278,medium,50,urban_interface,calm,mega_fire,massive,10,0.6000000000000001,60,0.6
279,hard,80,urban_interface,severe,large_fire,extended,5,0.8400000000000001,48,0.30000000000000004
280,medium,50,coastal,severe,medium_fire,standard,3,0.63,40,0.6
281,medium,50,mixed_terrain,moderate,medium_fire,minimal,1,0.54,60,0.39999999999999997
282,medium,50,forest_sparse,extreme,mega_fire,standard,3,0.8400000000000001,100,0.39999999999999997
283,medium,50,urban_interface,severe,large_fire,extended,5,0.72,48,0.6
284,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
285,medium,50,forest_dense,moderate,small_outbreak,massive,10,0.44999999999999996,12,0.8999999999999999
286,hard,80,urban_interface,extreme,mega_fire,massive,10,0.96,60,0.30000000000000004
287,hard,80,urban_interface,severe,mega_fire,massive,10,0.9,60,0.30000000000000004
288,medium,50,urban_interface,severe,large_fire,extended,5,0.72,48,0.6
289,medium,50,mixed_terrain,calm,large_fire,standard,3,0.54,60,0.49999999999999994
290,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
291,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
292,medium,50,mountainous,calm,medium_fire,standard,3,0.45,40,0.6
293,medium,50,urban_interface,severe,medium_fire,minimal,1,0.63,60,0.39999999999999997
294,medium,50,coastal,moderate,large_fire,massive,10,0.63,36,0.7
295,medium,50,urban_interface,moderate,medium_fire,extended,5,0.54,32,0.7
296,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
297,medium,50,forest_dense,extreme,small_outbreak,standard,3,0.6,20,0.7
298,medium,50,mixed_terrain,severe,large_fire,massive,10,0.72,36,0.7
299,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
300,medium,50,mixed_terrain,calm,medium_fire,standard,3,0.45,40,0.6
301,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
302,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
303,hard,80,urban_interface,severe,large_fire,extended,5,0.8400000000000001,48,0.30000000000000004
304,medium,50,coastal,severe,large_fire,minimal,1,0.72,90,0.29999999999999993
305,medium,50,mountainous,calm,mega_fire,massive,10,0.6000000000000001,60,0.6
306,medium,50,mountainous,moderate,large_fire,massive,10,0.63,36,0.7
307,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
308,hard,80,urban_interface,extreme,large_fire,massive,10,0.9000000000000001,36,0.4
309,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
310,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
311,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
312,medium,50,forest_dense,severe,mega_fire,extended,5,0.78,80,0.5
313,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
314,medium,50,mixed_terrain,moderate,mega_fire,standard,3,0.6900000000000001,100,0.39999999999999997
315,medium,50,mixed_terrain,extreme,large_fire,minimal,1,0.78,90,0.29999999999999993
316,hard,80,mountainous,extreme,large_fire,massive,10,0.9000000000000001,36,0.4
317,medium,50,mixed_terrain,extreme,large_fire,massive,10,0.78,36,0.7
318,medium,50,mixed_terrain,extreme,mega_fire,standard,3,0.8400000000000001,100,0.39999999999999997
319,hard,80,urban_interface,extreme,large_fire,extended,5,0.9000000000000001,48,0.30000000000000004
320,hard,80,urban_interface,extreme,mega_fire,massive,10,0.96,60,0.30000000000000004
321,medium,50,urban_interface,moderate,medium_fire,extended,5,0.54,32,0.7
322,hard,80,urban_interface,extreme,mega_fire,massive,10,0.96,60,0.30000000000000004
323,medium,50,mountainous,extreme,small_outbreak,standard,3,0.6,20,0.7
324,medium,50,forest_dense,extreme,small_outbreak,minimal,1,0.6,30,0.49999999999999994
325,medium,50,mountainous,severe,small_outbreak,standard,3,0.54,20,0.7
326,medium,50,mountainous,calm,mega_fire,massive,10,0.6000000000000001,60,0.6
327,medium,50,forest_sparse,moderate,small_outbreak,minimal,1,0.44999999999999996,30,0.49999999999999994
328,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
329,hard,80,urban_interface,severe,mega_fire,extended,5,0.9,80,0.20000000000000004
330,medium,50,coastal,moderate,medium_fire,massive,10,0.54,24,0.8
331,hard,80,urban_interface,severe,mega_fire,massive,10,0.9,60,0.30000000000000004
332,easy,30,mixed_terrain,calm,small_outbreak,minimal,1,0.24,30,0.7
333,hard,80,urban_interface,extreme,large_fire,massive,10,0.9000000000000001,36,0.4
334,easy,30,forest_sparse,calm,small_outbreak,minimal,1,0.24,30,0.7
